0-sad 1-disturbed 2-happy 3-excited,0-irresponsible 1-don't respect 2-Shows respect 3-Responsible,0-Unconfident 1-don't belives 2-belives 3-very Confident,0-selfish and unregular 1-Undisciplined 2-Good attitude 3-disciplined,0-lack of communication 1-bad softskills 2-good softskills 3-good communication,0-bad social acts 1-good social acts,imageslabels

Emotion,mental,modesty,discipline,communication,social,image_label
3,2,2,1,3,1,a01-000u-s00-00.png
1,1,1,1,2,0,a01-000u-s00-01.png
1,1,1,1,1,1,a01-000u-s00-02.png
3,2,2,1,2,0,a01-000u-s00-03.png
3,1,1,1,1,1,a01-000u-s01-00.png
1,1,1,1,1,1,a01-000u-s01-01.png
1,1,1,1,1,1,a01-000u-s01-02.png
3,1,1,1,1,1,a01-000u-s01-03.png
3,1,1,1,2,0,a01-003u-s00-00.png
1,1,1,1,1,1,a01-003u-s00-01.png
1,1,2,3,1,1,a01-003u-s00-02.png
3,0,0,1,1,0,a01-003u-s00-03.png
1,2,2,1,3,1,a01-003u-s01-00.png
3,1,1,1,1,1,a01-003u-s01-01.png
1,1,1,1,2,0,a01-003u-s01-02.png
3,1,1,1,1,1,a01-003u-s01-03.png
1,0,0,1,1,0,a01-003u-s01-04.png
1,1,2,3,2,0,a01-003u-s02-00.png
1,1,1,1,2,0,a01-003u-s02-01.png
3,1,1,1,2,0,a01-003u-s02-02.png
1,0,0,1,0,1,a01-003u-s02-03.png
3,1,1,1,1,1,a01-007u-s00-00.png
1,1,1,1,2,0,a01-007u-s00-01.png
3,1,1,1,2,0,a01-007u-s01-00.png
1,1,1,1,2,0,a01-007u-s01-01.png
1,1,1,1,1,1,a01-007u-s01-02.png
3,1,1,1,1,1,a01-007u-s01-03.png
3,1,1,1,2,0,a01-007u-s01-04.png
1,1,1,1,1,1,a01-007u-s02-00.png
1,2,2,1,2,0,a01-007u-s02-01.png
3,1,2,3,1,1,a01-007u-s02-02.png
3,1,1,1,2,0,a01-007u-s02-03.png
3,2,2,1,2,0,a01-007u-s02-04.png
3,1,1,1,1,1,a01-011u-s00-00.png
1,1,1,1,2,0,a01-011u-s00-01.png
1,1,1,1,1,1,a01-011u-s00-02.png
1,1,2,3,2,0,a01-011u-s00-03.png
1,1,1,1,1,1,a01-011u-s00-04.png
3,1,1,1,2,0,a01-011u-s00-05.png
1,1,1,1,2,0,a01-011u-s01-00.png
1,1,1,1,1,1,a01-011u-s01-01.png
1,1,1,1,1,1,a01-011u-s01-02.png
1,1,1,1,1,1,a01-011u-s01-03.png
1,1,1,1,1,1,a01-011u-s01-04.png
3,1,1,1,2,0,a01-014u-s00-00.png
3,2,2,1,3,1,a01-014u-s00-01.png
3,1,1,1,2,0,a01-014u-s00-02.png
3,1,1,1,1,1,a01-014u-s01-00.png
1,1,1,1,1,1,a01-014u-s01-01.png
1,1,1,1,1,1,a01-014u-s02-00.png
3,1,1,1,1,1,a01-014u-s02-01.png
3,1,1,1,2,0,a01-014u-s03-00.png
3,2,2,1,3,1,a01-014u-s04-00.png
3,1,1,1,2,0,a01-014u-s04-01.png
1,1,1,1,1,1,a01-014u-s04-02.png
3,1,2,3,1,1,a01-014u-s04-03.png
1,1,1,1,1,1,a01-020u-s00-00.png
3,0,0,1,0,1,a01-020u-s00-01.png
3,1,1,1,1,1,a01-020u-s00-02.png
1,0,1,3,1,0,a01-020u-s01-00.png
1,1,1,1,1,1,a01-020u-s01-01.png
3,1,1,1,2,0,a01-020u-s01-02.png
3,1,1,1,1,1,a01-020u-s02-00.png
1,1,1,1,2,0,a01-020u-s02-01.png
1,1,2,3,2,0,a01-020u-s02-02.png
3,1,1,1,2,0,a01-020u-s03-00.png
